gene	cluster
X1053_at	1
X1320_at	1
X1487_at	1
X1552256_a_at	1
X1552257_a_at	1
X1552263_at	1
X1552264_a_at	1
X1552274_at	1
X1552275_s_at	1
X1552277_a_at	1
X1552286_at	1
X1552287_s_at	1
X1552291_at	1
X1552299_at	1
X1552304_at	1
X1552306_at	1
X1552312_a_at	1
X1552314_a_at	1
X1552319_a_at	1
X1552322_at	1
X1552323_s_at	1
X1552325_at	1
X1552330_at	1
X1552344_s_at	1
X1552348_at	1
X1552349_a_at	1
X1552364_s_at	1
X1552370_at	1
X1552375_at	1
X1552378_s_at	1
X1552381_at	1
X1552389_at	1
X1552390_a_at	1
X1552417_a_at	1
X1552423_at	1
X1552424_at	1
X1552427_at	1
X1552430_at	1
X1552439_s_at	1
X1552457_a_at	1
X1552470_a_at	1
X1552472_a_at	1
X1552478_a_at	1
X1552481_s_at	1
X1552485_at	1
X1552486_s_at	1
X1552487_a_at	1
X1552502_s_at	1
X1552514_at	1
X1552516_a_at	1
X1552518_s_at	1
X1552521_a_at	1
X1552538_a_at	1
X1552546_a_at	1
X1552552_s_at	1
X1552562_at	1
X1552578_a_at	1
X1552580_at	1
X1552609_s_at	1
X1552610_a_at	1
X1552611_a_at	1
X1552612_at	1
X1552613_s_at	1
X1552617_a_at	1
X1552618_at	1
X1552619_a_at	1
X1552625_a_at	1
X1552627_a_at	1
X1552628_a_at	1
X1552633_at	1
X1552634_a_at	1
X1552639_at	1
X1552641_s_at	1
X1552644_a_at	1
X1552648_a_at	1
X1552649_a_at	1
X1552656_s_at	1
X1552660_a_at	1
X1552663_a_at	1
X1552665_at	1
X1552666_a_at	1
X1552671_a_at	1
X1552672_a_at	1
X1552675_at	1
X1552677_a_at	1
X1552678_a_at	1
X1552680_a_at	1
X1552682_a_at	1
X1552684_a_at	1
X1552685_a_at	1
X1552693_at	1
X1552696_at	1
X1552717_s_at	1
X1552725_s_at	1
X1552734_at	1
X1552737_s_at	1
X1552739_s_at	1
X1552760_at	1
X1552766_at	1
X1552767_a_at	1
X1552771_a_at	1
X1552779_a_at	1
X1552792_at	1
X1552804_a_at	1
X1552812_a_at	1
X1552822_at	1
X1552843_at	1
X1552848_a_at	1
X1552853_at	1
X1552878_at	1
X1552882_a_at	1
X1552897_a_at	1
X1552906_at	1
X1552914_a_at	1
X1552919_at	1
X1552921_a_at	1
X1552924_a_at	1
X1552927_at	1
X1552928_s_at	1
X1552931_a_at	1
X1552946_at	1
X1552947_x_at	1
X1552960_at	1
X1552969_a_at	1
X1552970_s_at	1
X1552974_at	1
X1552977_a_at	1
X1552978_a_at	1
X1552980_at	1
X1552988_at	1
X1553007_a_at	1
X1553015_a_at	1
X1553021_s_at	1
X1553034_at	1
X1553048_a_at	1
X1553055_a_at	1
X1553075_a_at	1
X1553099_at	1
X1553101_a_at	1
X1553103_at	1
X1553105_s_at	1
X1553106_at	1
X1553107_s_at	1
X1553108_at	1
X1553111_a_at	1
X1553112_s_at	1
X1553113_s_at	1
X1553117_a_at	1
X1553120_at	1
X1553122_s_at	1
X1553126_a_at	1
X1553127_a_at	1
X1553133_at	1
X1553137_s_at	1
X1553138_a_at	1
X1553140_at	1
X1553141_at	1
X1553142_at	1
X1553148_a_at	1
X1553150_at	1
X1553151_at	1
X1553158_at	1
X1553167_a_at	1
X1553171_x_at	1
X1553172_at	1
X1553183_at	1
X1553188_s_at	1
X1553191_at	1
X1553199_at	1
X1553202_at	1
X1553209_at	1
X1553216_at	1
X1553217_s_at	1
X1553219_a_at	1
X1553220_at	1
X1553225_s_at	1
X1553229_at	1
X1553244_at	1
X1553252_a_at	1
X1553266_at	1
X1553267_a_at	1
X1553269_at	1
X1553274_a_at	1
X1553276_at	1
X1553280_at	1
X1553284_s_at	1
X1553285_s_at	1
X1553286_at	1
X1553295_at	1
X1553299_at	1
X1553300_a_at	1
X1553301_a_at	1
X1553304_at	1
X1553313_s_at	1
X1553315_at	1
X1553319_at	1
X1553322_s_at	1
X1553333_at	1
X1553336_a_at	1
X1553338_at	1
X1553346_a_at	1
X1553348_a_at	1
X1553363_at	1
X1553396_a_at	1
X1553399_a_at	1
X1553402_a_at	1
X1553413_at	1
X1553423_a_at	1
X1553449_at	1
X1553459_at	1
X1553502_a_at	1
X1553510_s_at	1
X1553512_at	1
X1553514_a_at	1
X1553528_a_at	1
X1553530_a_at	1
X1553535_a_at	1
X1553536_at	1
X1553537_at	1
X1553540_a_at	1
X1553546_at	1
X1553547_at	1
X1553551_s_at	1
X1553564_at	1
X1553565_s_at	1
X1553569_at	1
X1553570_x_at	1
X1553575_at	1
X1553581_s_at	1
X1553587_a_at	1
X1553589_a_at	1
X1553603_s_at	1
X1553604_at	1
X1553605_a_at	1
X1553607_at	1
X1553608_a_at	1
X1553613_s_at	1
X1553614_a_at	1
X1553618_at	1
X1553626_a_at	1
X1553639_a_at	1
X1553646_at	1
X1553652_a_at	1
X1553660_at	1
X1553668_at	1
X1553672_at	1
X1553677_a_at	1
X1553678_a_at	1
X1553679_s_at	1
X1553685_s_at	1
X1553686_at	1
X1553688_at	1
X1553689_s_at	1
X1553691_at	1
X1553694_a_at	1
X1553696_s_at	1
X1553697_at	1
X1553698_a_at	1
X1553702_at	1
X1553705_a_at	1
X1553708_at	1
X1553709_a_at	1
X1553710_at	1
X1553715_s_at	1
X1553721_at	1
X1553722_s_at	1
X1553725_s_at	1
X1553732_s_at	1
X1553741_at	1
X1553749_at	1
X1553750_a_at	1
X1553752_at	1
X1553764_a_at	1
X1553768_a_at	1
X1553772_at	1
X1553781_at	1
X1553787_at	1
X1553789_a_at	1
X1553793_a_at	1
X1553796_at	1
X1553798_a_at	1
X1553801_a_at	1
X1553802_a_at	1
X1553810_a_at	1
X1553822_at	1
X1553830_s_at	1
X1553834_at	1
X1553835_a_at	1
X1553852_at	1
X1553861_at	1
X1553873_at	1
X1553880_at	1
X1553881_at	1
X1553928_at	1
X1553940_a_at	1
X1553947_at	1
X1553954_at	1
X1553956_at	1
X1553959_a_at	1
X1553967_at	1
X1553970_s_at	1
X1553972_a_at	1
X1553977_a_at	1
X1553978_at	1
X1553979_at	1
X1553982_a_at	1
X1553983_at	1
X1553984_s_at	1
X1553987_at	1
X1553989_a_at	1
X1553991_s_at	1
X1553994_at	1
X1553995_a_at	1
X1553997_a_at	1
X1554008_at	1
X1554014_at	1
X1554015_a_at	1
X1554016_a_at	1
X1554019_s_at	1
X1554020_at	1
X1554021_a_at	1
X1554026_a_at	1
X1554029_a_at	1
X1554034_a_at	1
X1554036_at	1
X1554037_a_at	1
X1554041_at	1
X1554047_at	1
X1554049_s_at	1
X1554052_at	1
X1554053_at	1
X1554057_at	1
X1554063_at	1
X1554076_s_at	1
X1554077_a_at	1
X1554078_s_at	1
X1554079_at	1
X1554080_at	1
X1554082_a_at	1
X1554084_a_at	1
X1554086_at	1
X1554089_s_at	1
X1554091_a_at	1
X1554093_a_at	1
X1554095_at	1
X1554096_a_at	1
X1554101_a_at	1
X1554102_a_at	1
X1554103_at	1
X1554105_at	1
X1554110_at	1
X1554114_s_at	1
X1554122_a_at	1
X1554125_a_at	1
X1554131_at	1
X1554132_a_at	1
X1554145_a_at	1
X1554148_a_at	1
X1554149_at	1
X1554152_a_at	1
X1554153_a_at	1
X1554155_at	1
X1554158_at	1
X1554159_a_at	1
X1554163_at	1
X1554165_at	1
X1554167_a_at	1
X1554168_a_at	1
X1554171_at	1
X1554176_a_at	1
X1554179_s_at	1
X1554193_s_at	1
X1554196_at	1
X1554199_at	1
X1554203_at	1
X1554206_at	1
X1554216_at	1
X1554217_a_at	1
X1554229_at	1
X1554234_at	1
X1554237_at	1
X1554239_s_at	1
X1554241_at	1
X1554242_a_at	1
X1554246_at	1
X1554249_a_at	1
X1554251_at	1
X1554256_a_at	1
X1554260_a_at	1
X1554264_at	1
X1554271_a_at	1
X1554273_a_at	1
X1554274_a_at	1
X1554277_s_at	1
X1554279_a_at	1
X1554283_at	1
X1554287_at	1
X1554290_at	1
X1554291_at	1
X1554292_a_at	1
X1554294_s_at	1
X1554296_at	1
X1554309_at	1
X1554310_a_at	1
X1554311_a_at	1
X1554317_s_at	1
X1554321_a_at	1
X1554322_a_at	1
X1554324_s_at	1
X1554327_a_at	1
X1554328_at	1
X1554329_x_at	1
X1554339_a_at	1
X1554340_a_at	1
X1554341_a_at	1
X1554342_s_at	1
X1554345_a_at	1
X1554351_a_at	1
X1554352_s_at	1
X1554360_at	1
X1554364_at	1
X1554365_a_at	1
X1554376_s_at	1
X1554378_a_at	1
X1554383_a_at	1
X1554384_at	1
X1554385_a_at	1
X1554390_s_at	1
X1554397_s_at	1
X1554398_at	1
X1554406_a_at	1
X1554408_a_at	1
X1554410_a_at	1
X1554411_at	1
X1554413_s_at	1
X1554414_a_at	1
X1554415_at	1
X1554417_s_at	1
X1554423_a_at	1
X1554424_at	1
X1554430_at	1
X1554432_x_at	1
X1554433_a_at	1
X1554438_at	1
X1554441_a_at	1
X1554445_at	1
X1554449_at	1
X1554450_s_at	1
X1554451_s_at	1
X1554453_at	1
X1554462_a_at	1
X1554464_a_at	1
X1554465_s_at	1
X1554466_a_at	1
X1554468_s_at	1
X1554469_at	1
X1554470_s_at	1
X1554471_a_at	1
X1554472_a_at	1
X1554476_x_at	1
X1554478_a_at	1
X1554482_a_at	1
X1554486_a_at	1
X1554488_at	1
X1554489_a_at	1
X1554493_s_at	1
X1554494_at	1
X1554496_at	1
X1554499_s_at	1
X1554509_a_at	1
X1554510_s_at	1
X1554512_a_at	1
X1554513_s_at	1
X1554518_at	1
X1554522_at	1
X1554536_at	1
X1554539_a_at	1
X1554544_a_at	1
X1554549_a_at	1
X1554550_at	1
X1554553_s_at	1
X1554555_a_at	1
X1554556_a_at	1
X1554557_at	1
X1554572_a_at	1
X1554574_a_at	1
X1554575_a_at	1
X1554576_a_at	1
X1554577_a_at	1
X1554588_a_at	1
X1554592_a_at	1
X1554593_s_at	1
X1554594_at	1
X1554600_s_at	1
X1554606_at	1
X1554612_at	1
X1554614_a_at	1
X1554619_at	1
X1554627_a_at	1
X1554628_at	1
X1554629_at	1
X1554640_at	1
X1554648_a_at	1
X1554655_a_at	1
X1554660_a_at	1
X1554661_s_at	1
X1554663_a_at	1
X1554667_s_at	1
X1554671_a_at	1
X1554677_s_at	1
X1554678_s_at	1
X1554679_a_at	1
X1554685_a_at	1
X1554689_a_at	1
X1554691_a_at	1
X1554696_s_at	1
X1554697_at	1
X1554707_at	1
X1554712_a_at	1
X1554717_a_at	1
X1554721_a_at	1
X1554724_at	1
X1554726_at	1
X1554739_at	1
X1554740_a_at	1
X1554742_at	1
X1554743_x_at	1
X1554747_a_at	1
X1554757_a_at	1
X1554758_a_at	1
X1554761_a_at	1
X1554762_a_at	1
X1554767_s_at	1
X1554768_a_at	1
X1554774_at	1
X1554777_at	1
X1554778_at	1
X1554779_s_at	1
X1554780_a_at	1
X1554783_s_at	1
X1554785_at	1
X1554791_a_at	1
X1554793_at	1
X1554794_a_at	1
X1554795_a_at	1
X1554806_a_at	1
X1554807_a_at	1
X1554808_at	1
X1554818_s_at	1
X1554830_a_at	1
X1554834_a_at	1
X1554835_a_at	1
X1554847_at	1
X1554863_s_at	1
X1554864_a_at	1
X1554868_s_at	1
X1554873_at	1
X1554875_at	1
X1554878_a_at	1
X1554883_a_at	1
X1554884_at	1
X1554885_a_at	1
X1554887_at	1
X1554890_a_at	1
X1554894_a_at	1
X1554895_a_at	1
X1554897_s_at	1
X1554906_a_at	1
X1554912_at	1
X1554915_a_at	1
X1554916_a_at	1
X1554918_a_at	1
X1554920_at	1
X1554922_at	1
X1554923_at	1
X1554938_a_at	1
X1554946_at	1
X1554958_at	1
X1554961_at	1
X1554962_a_at	1
X1554971_at	1
X1554973_a_at	1
X1554980_a_at	1
X1554981_at	1
X1554982_a_at	1
X1554986_a_at	1
X1554988_at	1
X1554997_a_at	1
X1555003_at	1
X1555004_a_at	1
X1555009_a_at	1
X1555015_a_at	1
X1555022_at	1
X1555027_at	1
X1555028_at	1
X1555033_a_at	1
X1555037_a_at	1
X1555039_a_at	1
X1555043_at	1
X1555058_a_at	1
X1555062_s_at	1
X1555090_x_at	1
X1555091_at	1
X1555097_a_at	1
X1555105_a_at	1
X1555106_a_at	1
X1555114_at	1
X1555122_at	1
X1555125_at	1
X1555137_a_at	1
X1555140_a_at	1
X1555153_s_at	1
X1555154_a_at	1
X1555165_a_at	1
X1555167_s_at	1
X1555171_at	1
X1555173_at	1
X1555175_a_at	1
X1555185_x_at	1
X1555193_a_at	1
X1555197_a_at	1
X1555202_a_at	1
X1555214_a_at	1
X1555217_at	1
X1555220_a_at	1
X1555224_at	1
X1555225_at	1
X1555226_s_at	1
X1555227_a_at	1
X1555240_s_at	1
X1555241_at	1
X1555243_x_at	1
X1555257_a_at	1
X1555262_a_at	1
X1555266_a_at	1
X1555272_at	1
X1555274_a_at	1
X1555278_a_at	1
X1555279_at	1
X1555281_x_at	1
X1555282_a_at	1
X1555284_at	1
X1555292_at	1
X1555294_a_at	1
X1555301_a_at	1
X1555307_at	1
X1555310_a_at	1
X1555313_a_at	1
X1555315_a_at	1
X1555324_at	1
X1555325_s_at	1
X1555326_a_at	1
X1555334_s_at	1
X1555335_at	1
X1555337_a_at	1
X1555345_at	1
X1555350_at	1
X1555351_s_at	1
X1555355_a_at	1
X1555358_a_at	1
X1555360_a_at	1
X1555383_a_at	1
X1555384_a_at	1
X1555390_at	1
X1555397_at	1
X1555399_a_at	1
X1555403_a_at	1
X1555405_at	1
X1555408_at	1
X1555409_a_at	1
X1555420_a_at	1
X1555421_at	1
X1555427_s_at	1
X1555434_a_at	1
X1555441_at	1
X1555444_a_at	1
X1555448_at	1
X1555450_a_at	1
X1555461_at	1
X1555464_at	1
X1555465_at	1
X1555467_a_at	1
X1555480_a_at	1
X1555483_x_at	1
X1555487_a_at	1
X1555491_a_at	1
X1555495_a_at	1
X1555500_s_at	1
X1555501_s_at	1
X1555513_at	1
X1555514_a_at	1
X1555515_a_at	1
X1555517_at	1
X1555520_at	1
X1555522_s_at	1
X1555526_a_at	1
X1555543_a_at	1
X1555551_at	1
X1555558_at	1
X1555559_s_at	1
X1555560_at	1
X1555561_a_at	1
X1555562_a_at	1
X1555564_a_at	1
X1555565_s_at	1
X1555569_a_at	1
X1555591_at	1
X1555594_a_at	1
X1555595_at	1
X1555601_at	1
X1555606_a_at	1
X1555608_at	1
X1555609_a_at	1
X1555610_at	1
X1555611_s_at	1
X1555618_s_at	1
X1555627_s_at	1
X1555639_a_at	1
X1555677_s_at	1
X1555679_a_at	1
X1555680_a_at	1
X1555687_a_at	1
X1555702_a_at	1
X1555710_at	1
X1555711_x_at	1
X1555716_a_at	1
X1555718_x_at	1
X1555730_a_at	1
X1555731_a_at	1
X1555733_s_at	1
X1555734_x_at	1
X1555736_a_at	1
X1555746_at	1
X1555751_a_at	1
X1555753_x_at	1
X1555758_a_at	1
X1555760_a_at	1
X1555761_x_at	1
X1555762_s_at	1
X1555764_s_at	1
X1555765_a_at	1
X1555766_a_at	1
X1555772_a_at	1
X1555774_at	1
X1555780_a_at	1
X1555784_s_at	1
X1555785_a_at	1
X1555788_a_at	1
X1555789_s_at	1
X1555790_a_at	1
X1555793_a_at	1
X1555797_a_at	1
X1555798_at	1
X1555803_a_at	1
X1555807_a_at	1
X1555808_a_at	1
X1555814_a_at	1
X1555815_a_at	1
X1555820_a_at	1
X1555821_a_at	1
X1555826_at	1
X1555827_at	1
X1555829_at	1
X1555830_s_at	1
X1555831_s_at	1
X1555837_s_at	1
X1555841_at	1
X1555844_s_at	1
X1555853_at	1
X1555862_s_at	1
X1555864_s_at	1
X1555886_at	1
X1555888_at	1
X1555894_s_at	1
X1555895_at	1
X1555896_a_at	1
X1555902_at	1
X1555905_a_at	1
X1555906_s_at	1
X1555907_at	1
X1555908_at	1
X1555910_at	1
X1555912_at	1
X1555928_at	1
X1555929_s_at	1
X1555935_s_at	1
X1555943_at	1
X1555945_s_at	1
X1555948_s_at	1
X1555961_a_at	1
X1555964_at	1
X1555971_s_at	1
X1555972_s_at	1
X1555973_at	1
X1555974_a_at	1
X1555976_s_at	1
X1555977_at	1
X1555978_s_at	1
X1555981_at	1
X1555989_at	1
X1556009_at	1
X1556019_at	1
X1556021_at	1
X1556048_at	1
X1556058_s_at	1
X1556061_at	1
X1556064_at	1
X1556065_at	1
X1556102_x_at	1
